Nombre Municipio,Departamento,Tipo de Nombre,Significado
Santa Fe de Antioquia,Antioquia,Origen Religioso,Por la fe cristiana  nombre colonial 
Buenaventura,Valle del Cauca,Origen Religioso,Por San Buenaventura  santo franciscano 
Trinidad,Casanare,Origen Religioso,Por la Santísima Trinidad  
Providencia,San Andrés,Origen Religioso,En alusión a la Providencia divina  
Providencia,Nariño,Origen Religioso,En alusión a la Providencia divina  
Los Santos,Santander,Origen Religioso,Por pluralidad de santos católicos  
El Calvario,Meta,Origen Religioso,Por el Calvario de Jesús  
La Capilla,Boyacá,Origen Religioso,Por una aparición de la Virgen de la Candelaria  
La Cruz,Nariño,Origen Religioso,En referencia a la cruz de Cristo  
Santacruz,Nariño,Origen Religioso,En referencia a la cruz de Cristo  
Campo de la Cruz,Atlántico,Origen Religioso,Por la cruz cristiana  
Santa Cruz de Lorica,Córdoba,Origen Religioso,Por la cruz cristiana  
Santa Cruz de Mompox,Bolívar,Origen Religioso,Por la cruz cristiana  
La Esperanza,Norte de Santander,Origen Religioso,Por el valor teologal cristiano  
Teorama,Norte de Santander,Origen Religioso,Por el valor teologal cristiano  
Jericó,Antioquia,Origen Religioso,Por ciudad bíblica de Jericó  
Jericó,Boyacá,Origen Religioso,Por ciudad bíblica de Jericó  
Betulia,Antioquia,Origen Religioso,Por ciudad bíblica de Betulia  
Betulia,Santander,Origen Religioso,Por ciudad bíblica de Betulia  
San Juan de Betulia,Sucre,Origen Religioso,Por ciudad bíblica de Betulia  
Jerusalén,Cundinamarca,Origen Religioso,En honor a la ciudad bíblica Jerusalén  
Jordán,Santander,Origen Religioso,Por el río bíblico Jordán  
Belén,Boyacá,Origen Religioso,En honor a la ciudad bíblica Belén  
Belén,Nariño,Origen Religioso,En honor a la ciudad bíblica Belén  
Belén de los Andaquíes,Caquetá,Origen Religioso,En honor a la ciudad bíblica Belén  
La Playa de Belén,Norte de Santander,Origen Religioso,En honor a la ciudad bíblica Belén  
Betania,Antioquia,Origen Religioso,Por el pueblo bíblico Betania  
San José,Caldas,Origen Religioso,Patrocinado por San José  esposo de la Virgen María 
San José de Albán,Nariño,Origen Religioso,Patrocinado por San José  
San José de Miranda,Santander,Origen Religioso,Patrocinado por San José  
San José de Pare,Boyacá,Origen Religioso,Patrocinado por San José  
San José de Uré,Córdoba,Origen Religioso,Patrocinado por San José  
San José de la Montaña,Antioquia,Origen Religioso,Patrocinado por San José  
San José del Fragua,Caquetá,Origen Religioso,Patrocinado por San José  
San José de Cúcuta,Norte de Santander,Origen Religioso,Patrocinado por San José  
San José del Guaviare,Guaviare,Origen Religioso,Patrocinado por San José  
San José del Palmar,Chocó,Origen Religioso,Patrocinado por San José  
Valle de San José,Santander,Origen Religioso,Patrocinado por San José  
San Andrés,San Andrés,Origen Religioso,Patrocinado por San Andrés apóstol y patrono de Escocia  
San Andrés,Santander,Origen Religioso,Patrocinado por San Andrés apóstol  
San Andrés de Cuerquia,Antioquia,Origen Religioso,Patrocinado por San Andrés apóstol  
San Andrés de Sotavento,Córdoba,Origen Religioso,Patrocinado por San Andrés apóstol  
San Luis,Antioquia,Origen Religioso,En honor a San Luis Gonzaga  
San Luis,Tolima,Origen Religioso,En honor a San Luis Gonzaga  
San Luis de Gaceno,Boyacá,Origen Religioso,En honor a San Luis Bertrán  
San Luis de Palenque,Casanare,Origen Religioso,En honor a San Luis  
San Juanito,Meta,Origen Religioso,En honor a San Juan Bautista  
San Juan Nepomuceno,Bolívar,Origen Religioso,En honor a San Juan Nepomuceno  
San Juan de Arama,Meta,Origen Religioso,En honor a San Juan  
San Juan de Rioseco,Cundinamarca,Origen Religioso,En honor a San Juan  
San Juan de Urabá,Antioquia,Origen Religioso,En honor a San Juan  
San Juan del Cesar,La Guajira,Origen Religioso,En honor a San Juan  
Valle de San Juan,Tolima,Origen Religioso,En honor a San Juan  
Bosconia,Cesar,Origen Religioso,En honor a San Juan Bosco  
San Pedro,Sucre,Origen Religioso,En honor a San Pedro apóstol  
San Pedro,Valle del Cauca,Origen Religioso,En honor a San Pedro apóstol  
San Pedro de Cartago,Nariño,Origen Religioso,En honor a San Pedro apóstol  
San Pedro de Urabá,Antioquia,Origen Religioso,En honor a San Pedro apóstol  
San Pedro de los Milagros,Antioquia,Origen Religioso,En honor a San Pedro apóstol  
San Pablo,Bolívar,Origen Religioso,En honor a San Pablo apóstol  
San Pablo,Nariño,Origen Religioso,En honor a San Pablo apóstol  
San Pablo de Borbur,Boyacá,Origen Religioso,En honor a San Pablo apóstol  
Cantón de San Pablo,Chocó,Origen Religioso,En honor a San Pablo apóstol  
San Carlos,Antioquia,Origen Religioso,En honor a San Carlos Borromeo  
San Carlos,Córdoba,Origen Religioso,En honor a San Carlos Borromeo  
San Carlos de Guaroa,Meta,Origen Religioso,En honor a San Carlos Borromeo  
San Francisco,Cundinamarca,Origen Religioso,En honor a San Francisco de Asís  
San Francisco,Antioquia,Origen Religioso,En honor a San Francisco de Asís  
San Francisco,Putumayo,Origen Religioso,En honor a San Francisco de Asís  
San Martín,Meta,Origen Religioso,En honor a San Martín de Tours  
San Martín de Loba,Bolívar,Origen Religioso,En honor a San Martín de Tours  
San Martín,Cesar,Origen Religioso,En honor a San Martín de Tours  
San Miguel,Putumayo,Origen Religioso,En honor al Arcángel San Miguel  
San Miguel,Santander,Origen Religioso,En honor al Arcángel San Miguel  
San Miguel de Sema,Boyacá,Origen Religioso,En honor al Arcángel San Miguel  
San Rafael,Antioquia,Origen Religioso,En honor al Arcángel San Rafael  
San Vicente Ferrer,Antioquia,Origen Religioso,En honor a San Vicente Ferrer  
San Vicente de Chucurí,Santander,Origen Religioso,En honor a San Vicente Ferrer  
San Vicente del Caguán,Caquetá,Origen Religioso,En honor a San Vicente Ferrer  
San Cayetano,Cundinamarca,Origen Religioso,En honor a San Cayetano  
San Cayetano,Norte de Santander,Origen Religioso,En honor a San Cayetano  
San Sebastián,Cauca,Origen Religioso,En honor a San Sebastián  
San Sebastián de Buenavista,Magdalena,Origen Religioso,En honor a San Sebastián  
San Jacinto,Bolívar,Origen Religioso,En honor a San Jacinto de Cracovia  
San Jacinto del Cauca,Bolívar,Origen Religioso,En honor a San Jacinto de Cracovia  
Santo Domingo,Antioquia,Origen Religioso,En honor a santo Domingo de Guzmán  
Santo Domingo de Silos,Norte de Santander,Origen Religioso,En honor a Santo Domingo de Silos  
San Agustín,Huila,Origen Religioso,En honor de San Agustín  
San Benito,Sucre,Origen Religioso,En honor a San Benito Abad  
San Benito, Santander,Origen Religioso,En honor a San Benito de Palermo  
San Jerónimo,Antioquia,Origen Religioso,En honor a San Jerónimo  
San Roque,Antioquia,Origen Religioso,En honor a San Roque  
San Cristóbal,Antioquia,Origen Religioso,En honor a San Cristóbal  
San Estanislao de Kostka,Bolívar,Origen Religioso,En honor a San Estanislao de Kostka  
San Fernando,Bolívar,Origen Religioso,En honor a San Fernando  
San Eduardo,Boyacá,Origen Religioso,En honor a San Eduardo  
San Alberto,Cesar,Origen Religioso,En honor a San Alberto  
San Diego,Cesar,Origen Religioso,En honor a San Diego  
San Antero,Córdoba,Origen Religioso,En honor a San Antero  
San Pelayo,Córdoba,Origen Religioso,En honor a San Pelayo  
San Lorenzo,Nariño,Origen Religioso,En honor a San Lorenzo  
San Calixto,Norte de Santander,Origen Religioso,En honor a San Calixto  
San Gil,Santander,Origen Religioso,En honor a San Gil  
San Onofre,Sucre,Origen Religioso,En honor a San Onofre  
Santa Ana,Magdalena,Origen Religioso,En honor a Santa Ana  madre de la Virgen María 
Santana,Boyacá,Origen Religioso,En honor a Santa Ana  madre de la Virgen María 
Santa Marta,Magdalena,Origen Religioso,En honor a Santa Marta de Betania  
Santa Catalina,Bolívar,Origen Religioso,En honor a Santa Catalina de Alejandría  
Santa Lucía,Atlántico,Origen Religioso,En honor a Santa Lucía  
Santa Rosalía,Vichada,Origen Religioso,En honor a Santa Rosalía de Palermo  Italia 
Santa Sofía,Boyacá,Origen Religioso,En honor a Santa Sofía  
Santiago,Putumayo,Origen Religioso,En honor al Apóstol Santiago  
Santiago,Norte de Santander,Origen Religioso,En honor al Apóstol Santiago  
San Mateo,Boyacá,Origen Religioso,En honor a San Mateo  
San Marcos,Sucre,Origen Religioso,En honor a San Marcos  
San Bartolomé,Caldas,Origen Religioso,En honor a San Bartolomé  
Santo Tomás,Atlántico,Origen Religioso,En honor a Santo Tomás de Villanueva  
San Domingo de Silos,Norte de Santander,Origen Religioso,En honor a Santo Domingo de Silos  
Santa Cruz de Mompox,Bolívar,Origen Religioso,En honor a la Cruz de Cristo  
La Merced,Caldas,Origen Religioso,En honor a la Virgen de las Mercedes  
Nátaga,Huila,Origen Religioso,En honor a la Virgen de las Mercedes  
Andes,Antioquia,Origen Religioso,En honor a la Virgen de las Mercedes  
Caldas,Antioquia,Origen Religioso,En honor a la Virgen de las Mercedes  
Concordia,Antioquia,Origen Religioso,Por diosa Concordia y la idea de concordia  
Hispania,Antioquia,Origen Europeo,Por Hispania  nombre latino de España 
Jericó,Boyacá,Origen Religioso,Por la ciudad bíblica de Jericó  
La Unión,Antioquia,Origen Religioso,En honor a la Virgen de las Mercedes  
Montebello,Antioquia,Origen Religioso,En honor a la Virgen de las Mercedes  
Marinilla,Antioquia,Origen Religioso,En honor a la Virgen María  
La Virginia,Risaralda,Origen Religioso,Referencia a la Virgen María  
Jesús María,Santander,Origen Religioso,Doble homenaje a Jesús y la Virgen María  
Santa Rosa de Lima,Córdoba,Origen Religioso,En honor a Santa Rosa de Lima  
Dagua,Valle del Cauca,Origen Indigena,"Recibe el nombre del río Dagua, cuyo significado se desconoce"
Calima,Valle del Cauca,Origen Indigena,Designa a una antigua cultura del Valle del Cauca relacionada con 'bruma' o 'neblina' que cubre la llanura del Pacífico
Arauca,Arauca,Origen Indigena,Nombre indígena relacionado con el bramido del río al llegar a la llanura
Casanare,Casanare,Origen Indigena,'Río de aguas negras' en lengua sáliba
Nunchía,Casanare,Origen Indigena,'Río verde' en lengua sáliba
Carurú,Vaupés,Origen Indigena,Nombre de plantas acuáticas que se aferran a las rocas en los raudales de los ríos
Mitú,Vaupés,Origen Indigena,Nombre de un ave (paujil o pavo de monte) en lengua yeral o ñengatú
Meta,Meta,Origen Indigena,"'Río resplandeciente', probable origen en lengua sikuani"
Vichada,Vichada,Origen Indigena,"'Donde la sabana se convierte en selva', en lengua sikuani"
Guaviare,Guaviare,Origen Indigena,"'Río hondo', en lengua sikuani"
Caquetá,Caquetá,Origen Indigena,'Rocío de pastizal' en lengua huitoto
Guainía,Guainía,Origen Indigena,'Tierra de muchas aguas' en lengua de la etnia yurí
Putumayo,Putumayo,Origen Indigena,'Caudal de aguas tranquilas' en quechua
Tame,Arauca,Origen Indigena,Nombre de un cacique indígena local
Valledupar,Cesar,Origen Indigena,Derivado del cacique Upar
Turbaco,Bolívar,Origen Indigena,Nombre indígena derivado del cacique Yurbaco
Mahates,Bolívar,Origen Indigena,Nombre de un grupo indígena malibú
Magangué,Bolívar,Origen Indigena,Nombre indígena del río Magdalena
Mompox,Bolívar,Origen Indigena,Derivado del nombre del cacique Mompoj
Cicuco,Bolívar,Origen Indigena,Derivado del nombre de un cacique malibú
Tamalameque,Cesar,Origen Indigena,Nombre indígena de líder indígena que se enfrentó a Jiménez de Quesada
Luruaco,Atlántico,Origen Indigena,'Lugar de canoas' en lengua mokaná
Malambo,Atlántico,Origen Indigena,'Río de aguas blancas' en lengua mokaná
Usiacurí,Atlántico,Origen Indigena,Nombre indígena de origen local
Piojó,Atlántico,Origen Indigena,Nombre derivado de un cacique local
Cereté,Córdoba,Origen Indigena,Nombre indígena referente a un lugar en la región
Chimá,Córdoba,Origen Indigena,Nombre de un cacique local
Lorica,Córdoba,Origen Indigena,"Nombre de un cacique indígena, Orica"
San Basilio de Palenque,Bolívar,Origen Indigena,Nombre relacionado con cimarrones esclavos libertos
Chimichagua,Cesar,Origen Indigena,Nombre indígena
Chiriguaná,Cesar,Origen Indigena,Nombre indígena
Curumaní,Cesar,Origen Indigena,Nombre indígena
Tamalameque,Cesar,Origen Indigena,Nombre indígena
Manaure,Cesar,Origen Indigena,Nombre de un cacique indígena noble
Paz de Ariporo,Casanare,Origen Indigena,Nombre de la virgen patrona y término indígena 'are'
Ataco,Tolima,Origen Indigena,Nombre indígena pijao que significa 'lugar de laguna seca'
Ibagué,Tolima,Origen Indigena,Nombre pijao que alude a un cacique o mujer indígena
Icononzo,Tolima,Origen Indigena,Nombre pijao que significa 'laguna del tigre'
Neiva,Huila,Origen Indigena,"Nombre histórico, posible origen importado"
Suaza,Huila,Origen Indigena,Nombre que significa 'río de la tierra pequeña' en lengua local
Timaná,Huila,Origen Indigena,Nombre indígena que significa 'caliente' o 'caluroso'
Isnos,Huila,Origen Indigena,Nombre indígena
Oporapa,Huila,Origen Indigena,Nombre indígena
Pitalito,Huila,Origen Indigena,Nombre indígena de palma amazónica
San Agustín,Huila,Origen Indigena,Territorio de cultura indígena agustiniana
San Sebastián de Buenavista,Magdalena,Origen Indigena,Nombre indígena desvirtuado
Sandoná,Nariño,Origen Indigena,'Lugar de las palmas' en quechua
Tumaco,Nariño,Origen Indigena,"'Tierra de curvas o montañas', nombre indígena desvirtuado"
Ipiales,Nariño,Origen Indigena,Nombre indígena
Guapi,Cauca,Origen Indigena,Nombre indígena desvirtuado
Amagá,Antioquia,Origen Indigena,"Nombre posiblemente derivado de Omogá, un poblado cercano de indígenas nutabes"
Anorí,Antioquia,Origen Indigena,Lugares de tierras ocupadas por el cacique Norí
Apartadó,Antioquia,Origen Indigena,"Nombre indígena; significa 'puerto de bananos', en lengua embera"
Buriticá,Antioquia,Origen Indigena,"Nombre del cacique Buriticá, intentó suicidarse para evitar captura española"
Carepa,Antioquia,Origen Indigena,Significa 'papagayo' en lengua indígena embera
Chigorodó,Antioquia,Origen Indigena,"Municipio ubicado junto al río Atrato, en zona de lenguas indígenas embera"
Dabeiba,Antioquia,Origen Indigena,"Nombre derivado de una mujer mitológica Dabaibe, relacionada con templos y leyendas indígenas"
Envigado,Antioquia,Origen Indigena,"De origen indígena, nombre de un antiguo asentamiento"
Itagüí,Antioquia,Origen Indigena,"De origen embera, nombre de asentamiento indígena"
Mutatá,Antioquia,Origen Indigena,"Nombre indígena embera, variante mutadó"
Necoclí,Antioquia,Origen Indigena,Nombre indígena de la región de Urabá
Nechí,Antioquia,Origen Indigena,Término indígena relacionado con la palabra oro
Tarazá,Antioquia,Origen Indigena,"Nombre del río Tarazá, origen indígena"
Titiribí,Antioquia,Origen Indigena,Nombre indígena embera
Vegachí,Antioquia,Origen Indigena,Nombre que deriva de una finca llamada Vegas de la China; sonoridad indígena posiblemente accidental
Yalí,Antioquia,Origen Indigena,"Nombre indígena, pueblo ubicado en cresta montañosa"
Yarumal,Antioquia,Origen Indigena,"Nombre indígena, origen desconocido"
Baranoa,Atlántico,Origen Indigena,"Nombre posiblemente de cacique local o planta, referido desde siglo XVI"
Luruaco,Atlántico,Origen Indigena,'Lugar de canoas' en lengua indígena mokaná
Malambo,Atlántico,Origen Indigena,'Río de aguas blancas' en lengua indígena mokaná
Piojó,Atlántico,Origen Indigena,Derivado del cacique local de tiempos de la conquista
Repelón,Atlántico,Origen Indigena,Nombre indígena de la región
Sabanagrande,Atlántico,Origen Indigena,Nombre indígena de origen incierto
Sabanalarga,Atlántico,Origen Indigena,Nombre indígena de la región
Tubará,Atlántico,Origen Indigena,"Nombre indígena, relacionado con palabra taína similar a tiburón"
Ayapel,Córdoba,Origen Indigena,"Municipio de cultura panzenú, cuyo nombre proviene del cacique Yapé o Yapel"
Cereté,Córdoba,Origen Indigena,"Nombre indígena, lugar en la región"
Chimá,Córdoba,Origen Indigena,Nombre de cacique local
Lorica,Córdoba,Origen Indigena,Nombre de cacique nativo llamado Orica
Momil,Córdoba,Origen Indigena,Nombre indígena de la región con presencia ancestral
San Antero,Córdoba,Origen Indigena,Nombre indígena desvirtuado
Tuchín,Córdoba,Origen Indigena,Nombre indígena asociado con sombrero vueltiao artesanal
Tutunendo,Chocó,Origen Indigena,Poblado conocido por sus aguas cristalinas y naturaleza exuberante
Acandí,Chocó,Origen Indigena,"Nombre indígena; pueblo ubicado en el extremo norte del Pacífico colombiano, cercano a Panamá"
Sipí,Chocó,Origen Indigena,"Pueblo minero sobre el río Sipí, afluente del río San Juan, nombre indígena que se desconoce"
Lloró,Chocó,Origen Indigena,Nombre indígena del municipio ubicado en la confluencia de los ríos Atrato y Andágueda
El Bagre,Antioquia,Origen Indigena,Nombre asociado al río Bagre; nombre indígena de origen chocoano
Nechí,Antioquia,Origen Indigena,Nombre indígena relacionado con la palabra ‘oro’
Apartadó,Antioquia,Origen Indigena,"Nombre embera, significa ‘puerto de bananos’"
Chigorodó,Antioquia,Origen Indigena,Nombre indígena del pueblo ubicado junto al río Atrato
Mutatá,Antioquia,Origen Indigena,"Nombre indígena embera, variante mutadó"
Dabeiba,Antioquia,Origen Indigena,"Derivado de una mujer mitológica Dabaibe, con templos y leyendas indígenas"
Necoclí,Antioquia,Origen Indigena,Nombre indígena de la región de Urabá
Tarazá,Antioquia,Origen Indigena,"Nombre del río Tarazá, origen indígena chocoano"
Titiribí,Antioquia,Origen Indigena,Nombre indígena embera
Vegachí,Antioquia,Origen Indigena,"Nombre con sonoridad indígena, posiblemente accidental, relacionado con el nombre Vegas de la China"
Yalí,Antioquia,Origen Indigena,Nombre indígena; pueblo en la cresta montañosa
Yarumal,Antioquia,Origen Indigena,Nombre indígena; origen desconocido
Ibagué,Tolima,Origen Indigena,"Nombre pijao, asociado a un cacique o mujer indígena"
Icononzo,Tolima,Origen Indigena,Nombre pijao que significa 'laguna del tigre'
Neiva,Huila,Origen Indigena,"Nombre de origen histórico, posible importación"
